,param_0,param_1,sigma,S,f,ef,r,alpha,NPV_ent,n_firms,Pr_mean,EP,C_mean,C_max,Sigma2,n_entr,n_ext
48,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03417645207101565,16,0.005439071494300687,0.001368130619208605,0.23460309602988225,0.2938194419696856,0.3196471964710065,1,0
49,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.015047520777220392,17,0.003887875064580933,0.0012187301396186876,0.23900399740714656,0.2938194419696856,0.31910883978534166,1,0
50,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.007235447537536089,17,0.0018961678310096745,0.0008160519187829871,0.23735841220775,0.27987768138771335,0.3176364740806184,3,3
51,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.008959297012141031,18,0.0023509483450629256,0.0019075781505766085,0.24617484422539235,0.282124500383465,0.3215573598028531,1,0
52,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0013694931919418073,19,0.0007568379515007236,0.0010002273909006463,0.24655739908437546,0.282124500383465,0.3183138372668159,2,1
53,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.04749758797204538,17,0.001283208125571501,0.0006206045404756697,0.23654664461512176,0.2645548993721966,0.31691015570826686,2,4
54,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.007377221798746709,16,0.0038787870332015226,0.001161201001494869,0.23376296671369562,0.2627543829070983,0.31890041485661835,1,2
55,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.008278633734742262,17,0.003934636266231074,0.0015920320785711237,0.24049881795787556,0.29771979212427413,0.320446310804415,1,0
56,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.043688199906041794,17,0.002396278784618065,0.0006858512004905646,0.23681861518937825,0.2754906294776244,0.31715349780102264,2,2
57,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.031249502608166044,16,0.003805614291185334,0.0009056558920439804,0.23271272208850596,0.2627543829070983,0.317966864078672,1,2
58,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03204196162932628,15,0.005528308697972332,0.0008075647015936358,0.22661910890305076,0.24463584414921574,0.31760509609092713,1,2
59,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0003051796815924223,15,0.006184655537316561,0.0009846029469208293,0.22735751899091577,0.2482175212506343,0.31825663440374924,1,1
60,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.02436159456013877,15,0.00592113968647897,0.0011899563583065795,0.2282052956559272,0.2482175212506343,0.3190046726375828,1,1
61,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.08138924788611317,15,0.005656411624039321,0.0008892328919053814,0.2269606196425446,0.24463584414921574,0.3179064290963629,2,2
62,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05664771964774899,15,0.005796585192864618,0.0012062715892607965,0.22827225736179108,0.24463584414921574,0.319063756495698,1,1
63,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.007348117547246525,16,0.005004230296717401,0.0012378011635759498,0.2340750187846134,0.27136551156167116,0.3191777944752119,1,0
64,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.021314147713966017,17,0.0018291620996355785,0.0012058314729855388,0.238951829598776,0.28133352159709224,0.31906216332522064,4,3
